Exporters	Imported value in 2022-M09	Imported value in 2022-M10	Imported value in 2022-M11	Imported value in 2022-M12	Imported value in 2023-M01	Imported value in 2023-M02	Imported value in 2023-M03	Imported value in 2023-M04	Imported value in 2023-M05	Imported value in 2023-M06	Imported value in 2023-M07	Imported value in 2023-M08	Imported value in 2023-M09	Imported value in 2023-M10	Imported value in 2023-M11	Imported value in 2023-M12	Imported value in 2024-M01	Imported value in 2024-M02	Imported value in 2024-M03	Imported value in 2024-M04	
"Cook Islands"	15	8	65	20	30	13	6	60	124	75	92	4	91	9	69	6	26	168	10	3	
"Costa Rica"	911843	849020	827987	831617	756635	868120	997127	777388	1002926	978172	864946	868504	930063	1001355	911749	876344	789127	830308	1010877	868827	
"Côte d'Ivoire"	77405	66103	57919	50162	169176	127159	131401	170877	67512	49066	43621	37460	78017	46140	39022	43952	155654	128307	124760	69323	
"Croatia"	68943	72300	75667	83942	53259	76325	84441	51242	75130	106144	75825	62032	63810	78901	96336	106165	53895	68294	96227	94188	
"Cuba"	0	445	342	9	114	123	614	697	520	9	105	627	677	586	22	17	946	7	7	1939	
"Curaçao"	3538	9829	14624	13721	17647	15001	11177	10298	6835	35056	7090	4914	6809	5922	14988	25470	15014	16372	11907	8368	
"Cyprus"	3078	5950	4175	4140	4389	1400	4069	5020	3821	3030	3977	10887	7749	4731	2785	3180	2938	4808	5750	4548	
"Czech Republic"	714708	712168	652700	648504	626371	591676	670123	629940	674468	674394	647501	625604	604273	689474	650720	658797	626857	592801	721715	720366	
"Denmark"	1107772	1136339	1121829	1697724	1329034	956323	1075121	931303	1092735	934928	1007198	1109245	786023	995462	890628	718231	600930	669858	829555	734701	
"Djibouti"	5047	4355	4194	8719	4016	3490	5499	1038	5490	4421	3397	6627	2713	4134	4311	3037	722	1716	4665	2537	
"Dominica"	150	116	154	71	387	271	102	136	495	279	100	162	82	122	91	44	134	132	94	93	
"Dominican Republic"	578261	609595	594099	542726	472577	563350	617576	567757	714416	656624	647543	588608	595363	648674	602002	602322	469630	608807	657493	662451	
"Ecuador"	1155131	835428	979740	854819	958345	746385	688421	746704	906773	594192	871443	1001462	673119	650062	653921	729650	687526	751723	788888	687322	
"Egypt"	244067	211050	178259	176486	256147	170034	173667	155141	269025	215603	243812	225125	245800	283859	134555	167993	144522	223294	260924	249533	
"El Salvador"	265759	246724	227451	208044	179132	219948	295453	212629	213728	210732	239171	228173	208210	184066	207942	175201	172488	216693	223417	183027	
"Equatorial Guinea"	24825	16615	22353	2887	36594	21428	134444	28538	9977	12315	7417	11477	13745	12154	14929	7107	10791	9911	5957	16844	
"Eritrea"	92	2	38	23	10	39	111	25	15	10	7	2	77	1	42	96	44	25	87	67	
"Estonia"	138850	122846	78322	60128	63513	67849	86811	71294	59578	65824	59788	63731	76576	51437	79307	58938	62718	67253	96078	91550	
"Eswatini"	1482	5664	1773	876	273	556	211	373	956	492	157	553	551	26361	196	619	760	238	1344	1028	
"Ethiopia"	65919	48635	47864	50655	34306	34193	30412	40682	49910	49214	63553	49822	43604	48507	29743	41659	24544	24392	32656	31821	
"Falkland Islands (Malvinas)"	0	4951	2111	6035	1045	48	7043	5011	783	8540	308	3044	1431	380	29	15	2024	3425	7	6233	
"Faroe Islands"	25174	23245	25785	20050	22558	19631	25413	24297	26040	19830	27059	31163	27151	25297	28271	26193	27100	25045	26669	24471	
"Fiji"	29327	44629	30408	23962	33913	18566	26498	27067	37193	25907	34351	28352	27858	40907	33428	24966	22277	22864	23867	25850	
"Finland"	623377	755151	690733	698606	703112	638156	517141	591782	667328	697441	602646	669508	630023	575270	763219	566674	752399	571831	598831	466355	
"France"	5062497	6074712	4855782	4925229	4867081	4265036	4814191	4833492	5439783	5003292	4681476	5448031	4190506	5776385	4693600	4914334	4914772	4804308	5059552	5593673	
"French Polynesia"	4156	5885	4325	3701	3014	1831	4581	3751	4265	4492	3064	6014	4075	3411	3743	3343	3162	2241	3766	2939	
"French Southern and Antarctic Territories"	3	0	51	0	24	3	9	4011	3	6	1	0	420	2	84	3	0	0	1	14	
"Gabon"	15588	3021	12738	8629	9387	1482	2035	8471	2473	4412	14513	6291	10334	12251	15514	1785	3156	2363	6875	13515	
"Gambia"	12	6	88	2	45	26	552	62	13	102	42	656	39	151	8	3	512	346	459	105	
"Georgia"	3244	55086	5566	6340	12920	5468	5055	11855	6906	3665	3456	27633	3351	26439	4438	8269	23441	4100	3814	25147	
"Germany"	13083822	14902363	13689867	14615364	13828632	12650056	14436909	13721606	13840068	13045002	13836000	14140484	12810196	14114036	12710691	13947062	12671633	12563131	14531490	14638587	
"Ghana"	211049	364894	228555	207868	82743	47745	141737	213068	393189	154997	29587	244765	50535	44973	93174	241817	128106	186897	231728	43190	
"Gibraltar"	103	245	376	736	40	42	118	111	55	33	273	43	19	3	189	12	10	0	199	5	
"Greece"	208131	220323	169740	215432	199324	176207	210162	185975	153404	169315	232247	193825	160522	167336	175277	187822	243732	194599	225735	198061	
"Greenland"	2293	1574	6421	4950	2348	3026	4477	2203	903	2507	1124	2474	1332	3110	2998	1507	2107	2807	3289	1753	
"Grenada"	875	1333	1420	1173	682	850	2018	2307	2416	1164	1614	2141	1113	1188	859	925	1317	1327	1641	2044	
"Guatemala"	437777	445038	386765	424355	427123	423961	559869	474383	495777	484374	446763	432379	407941	353951	394251	395983	430260	464428	480020	517883	
"Guinea"	508	298	345	1031	2525	2259	883	1341	1261	451	812	878	522	503	1897	816	410	482	991	1494	
"Guinea-Bissau"	0	0	2	0	0	11	0	436	0	1	100	6	0	77	0	0	80	2	2	8	
"Guyana"	164689	111740	215282	308397	231234	364977	267834	287263	181663	276453	195497	304379	270285	205994	348621	434846	467194	528323	385391	428939	
"Haiti"	77042	37728	43321	111232	50213	85677	80486	82115	84389	58648	62499	91893	66250	59393	75501	52304	42503	41006	61055	48807	
"Honduras"	539923	477733	534545	439361	370584	508507	545567	482036	590299	546829	479588	523777	463809	469814	430812	426634	415972	507963	510629	507414	
"Hong Kong, China"	411803	491033	357435	282258	266411	236123	451192	479755	375348	301303	347037	351118	427173	369257	289721	363785	313562	222321	566684	560965	
"Hungary"	752934	911582	587035	595881	669184	983254	922358	878955	756130	1045204	1147678	742800	772527	1096057	1139908	841430	851016	906881	838323	990664	
"Iceland"	66197	65093	83234	63700	60646	55481	71270	51143	55562	52072	54049	60047	65658	63528	64272	58837	64031	58900	80535	60210	
"India"	7710801	7964811	6628054	6286613	8312404	6591227	7618728	6983274	7685676	7140405	6689671	7054633	7644563	7889011	6922019	6752861	7147737	7069840	7902577	8302344	
"Indonesia"	3393629	3427420	2796924	2519963	2844614	2273040	2704974	2246074	2361723	1929675	2362171	2399266	2454607	2321741	1994818	2208512	2181770	2233156	2373452	2559799	
"Iran, Islamic Republic of"	5858	22	110	138	35	78	82	157	214	71	28	6	905	71	0	620	3436	381	144	164	
"Iraq"	779151	904441	909573	805723	863930	903132	1000651	796639	642413	707253	685384	773638	799332	770185	494720	504244	573533	365266	472690	854166	
"Ireland"	7026136	8134204	7030482	7046415	6173614	5338784	7104253	6340395	6897530	8346847	7770896	7157872	7353118	7203797	5877377	7150467	7364083	6567062	8016808	10230960	
"Israel"	2018832	1656398	1827442	1837236	1902417	1531085	1890351	1484554	2202084	1763773	1848153	1709301	1669197	1751561	1716080	1696257	1869991	1612397	2002218	1769865	
"Italy"	5176653	6662979	6001968	6585555	6087447	5235102	6404598	6240533	6318039	6495302	7062865	6750385	5298135	6656452	6418696	6240047	6595203	5715390	6563100	6972886	
"Jamaica"	25398	39531	28310	25192	22521	48113	35120	30746	34326	29069	43364	29056	33617	39128	30972	30775	22839	30160	41308	23382	
"Japan"	12038883	13522148	12785058	14017921	11476631	11717678	13348927	13329648	11619756	12052808	12965195	12489968	13013386	13899981	13769677	11896957	12953340	11998942	12555443	13028365	
"Jordan"	321217	361959	218859	194929	286644	230011	298302	196373	241094	217765	267396	299525	310546	242430	195695	211257	223471	270841	303450	284882	
"Kazakhstan"	71199	325902	142446	151941	276616	161874	114439	280258	306515	108232	335821	91696	221450	101490	166608	152166	177076	172425	139945	231426	
"Kenya"	84226	83333	84059	83597	78201	51233	78877	63262	56164	254111	61586	57202	80262	50753	46421	40442	38769	44207	75326	53118	
"Kiribati"	160	118	98	95	0	0	193	0	0	2	17	8	1	179	7	14	42	25	30	37	
"Korea, Democratic People's Republic of"	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
